,0
0,255.875
1,217.08333333333334
2,229.16666666666666
3,392.2083333333333
4,536.5
5,321.8333333333333
6,298.4583333333333
7,264.9166666666667
8,404.5
9,442.6666666666667
10,220.95833333333334
11,251.375
12,188.5
13,164.75
14,376.9166666666667
15,362.0
16,235.625
17,0.0
18,0.0
19,0.0
20,57.0
21,114.33333333333333
22,148.125
23,184.875
24,202.91666666666666
25,205.125
26,214.125
27,202.95833333333334
28,308.875
29,323.875
30,315.7916666666667
31,322.25
32,246.04166666666666
33,200.91666666666666
34,187.16666666666666
35,187.79166666666666
36,167.79166666666666
37,99.5
38,143.91666666666666
39,100.25
40,126.0
41,163.91666666666666
42,152.875
43,165.0
44,116.45833333333333
45,143.0
46,194.91666666666666
47,130.66666666666666
48,152.375
49,231.125
50,218.66666666666666
51,211.0
52,172.0
53,184.875
54,95.41666666666667
55,52.208333333333336
56,187.5
57,130.16666666666666
58,68.91666666666667
59,123.125
60,120.91666666666667
61,153.625
62,119.41666666666667
63,110.75
64,94.29166666666667
65,130.33333333333334
66,110.70833333333333
67,138.5
68,39.291666666666664
69,44.916666666666664
70,52.375
71,75.75
72,146.54166666666666
73,116.625
74,163.0
75,162.08333333333334
76,63.458333333333336
77,80.04166666666667
78,100.04166666666667
79,109.45833333333333
80,103.08333333333333
81,208.83333333333334
82,74.66666666666667
83,110.16666666666667
84,108.20833333333333
85,103.83333333333333
86,111.5
87,98.58333333333333
88,60.416666666666664
89,74.29166666666667
90,101.79166666666667
91,106.16666666666667
92,89.875
93,71.95833333333333
94,76.41666666666667
95,113.375
96,48.208333333333336
97,47.041666666666664
98,67.79166666666667
99,65.45833333333333
100,77.75
101,114.45833333333333
102,56.666666666666664
103,79.0
104,123.58333333333333
105,97.875
106,77.33333333333333
107,48.333333333333336
108,80.29166666666667
109,137.875
110,87.875
111,61.875
112,82.125
113,139.91666666666666
114,121.20833333333333
115,97.04166666666667
116,92.08333333333333
117,105.75
118,119.16666666666667
119,121.45833333333333
120,130.625
121,90.5
122,55.416666666666664
123,79.29166666666667
124,81.875
125,73.20833333333333
126,108.33333333333333
127,198.875
128,120.70833333333333
129,117.375
130,86.83333333333333
131,88.625
