,0
0,172.75
1,146.79166666666666
2,113.875
3,144.75
4,118.45833333333333
5,170.91666666666666
6,227.0
7,231.25
8,272.125
9,205.25
10,256.0
11,272.4166666666667
12,228.79166666666666
13,200.875
14,214.04166666666666
15,210.0
16,210.125
17,227.75
18,217.25
19,212.45833333333334
20,202.66666666666666
21,149.875
22,85.08333333333333
23,102.875
24,138.79166666666666
25,153.08333333333334
26,159.70833333333334
27,147.375
28,171.0
29,133.41666666666666
30,151.875
31,224.79166666666666
32,177.625
33,149.625
34,114.20833333333333
35,97.5
36,162.0
37,161.16666666666666
38,136.75
39,50.916666666666664
40,117.20833333333333
41,146.75
42,166.33333333333334
43,120.20833333333333
44,137.125
45,197.08333333333334
46,161.91666666666666
47,161.375
48,144.16666666666666
49,166.375
50,126.58333333333333
51,94.91666666666667
52,64.95833333333333
53,157.25
54,182.54166666666666
55,133.95833333333334
56,69.25
57,79.29166666666667
58,92.04166666666667
59,31.625
60,20.416666666666668
61,61.125
62,87.79166666666667
63,95.375
64,81.95833333333333
65,49.583333333333336
66,34.916666666666664
67,47.5
68,81.29166666666667
69,111.45833333333333
70,133.04166666666666
71,128.83333333333334
72,56.333333333333336
73,20.291666666666668
74,34.458333333333336
75,56.791666666666664
76,48.916666666666664
77,59.166666666666664
78,83.83333333333333
79,89.375
80,65.83333333333333
81,58.666666666666664
82,67.08333333333333
83,101.375
84,109.75
85,42.916666666666664
86,84.41666666666667
87,97.08333333333333
88,21.583333333333332
89,47.25
90,81.20833333333333
91,52.291666666666664
92,28.458333333333332
93,23.666666666666668
94,67.04166666666667
95,90.0
96,49.5
97,75.16666666666667
98,53.125
99,76.25
100,69.04166666666667
101,41.166666666666664
102,54.708333333333336
103,52.625
104,51.375
105,45.5
106,56.833333333333336
107,100.41666666666667
108,94.33333333333333
109,92.91666666666667
110,80.20833333333333
111,76.66666666666667
112,56.875
113,98.375
114,71.66666666666667
115,31.833333333333332
116,47.666666666666664
117,38.25
118,41.375
119,48.416666666666664
120,48.125
121,56.25
122,103.41666666666667
123,76.5
124,136.25
125,117.91666666666667
126,76.875
127,86.375
128,77.70833333333333
129,73.41666666666667
130,74.75
131,73.66666666666667
132,48.5
133,55.083333333333336
134,67.45833333333333
135,75.04166666666667
136,63.958333333333336
137,32.583333333333336
138,18.875
139,61.5
140,68.91666666666667
141,42.125
142,43.125
143,60.75
144,77.375
145,63.916666666666664
146,63.666666666666664
147,139.125
148,60.083333333333336
149,81.5
150,63.625
151,25.458333333333332
152,20.75
153,40.5
154,70.08333333333333
155,108.66666666666667
156,76.25
157,64.83333333333333
158,63.0
159,73.83333333333333
160,29.5
161,56.375
162,30.375
163,31.875
164,54.958333333333336
165,77.75
166,82.0
167,87.875
168,92.54166666666667
169,75.33333333333333
170,32.583333333333336
171,28.375
172,28.125
173,52.833333333333336
174,93.41666666666667
175,28.541666666666668
176,51.041666666666664
177,40.0
178,52.458333333333336
179,30.541666666666668
180,37.625
181,37.583333333333336
182,37.625
183,34.375
